Annotator,Direction,Count,Avg_Duration,Std_Dev
Person_1,down,1488,30.998655913978496,31.49814521830708
Person_1,left,1039,46.80461982675649,66.33504711497886
Person_1,left_down,139,36.94244604316547,31.85969462815994
Person_1,left_up,48,48.645833333333336,71.94929940171178
Person_1,right,783,68.89655172413794,70.57116830744927
Person_1,right_down,16,29.75,9.539392014169456
Person_1,right_up,15,52.46666666666667,63.36838628963484
Person_1,up,283,43.87279151943463,45.870903511793806
Person_2,down,1393,31.35391241923905,12.751733068413541
Person_2,left,952,41.64600840336134,44.247721843747485
Person_2,left_down,85,31.070588235294117,13.200638724891231
Person_2,left_up,48,36.729166666666664,25.82818811721875
Person_2,right,672,74.18452380952381,77.10668784259937
Person_2,right_down,17,33.8235294117647,18.087410311172402
Person_2,right_up,10,63.2,37.519772565053394
Person_2,up,184,40.09782608695652,40.36461139626857
Person_3,down,1573,38.5772409408773,21.825118376043182
Person_3,left,1228,51.5114006514658,56.85974709550126
Person_3,left_down,199,39.336683417085425,13.612687599889973
Person_3,left_up,130,72.79230769230769,128.70214975369458
Person_3,right,984,65.67378048780488,67.57349552595093
Person_3,right_down,57,43.45614035087719,21.910589559322514
Person_3,right_up,39,49.8974358974359,30.965001357045587
Person_3,up,270,42.93333333333333,55.96410161116663
