video,num_annotators,num_classes,num_segments,total_duration,imbalance_ratio_max_min,label_entropy,count::down,count::left,count::left_down,count::left_up,count::right,count::right_down,count::right_up,count::up
person_01_day_low_h265.mp4,3,7,353,14686.0,241.0,1.414105,241,35,5,0,61,1,1,9
person_01_night_high_h265.mp4,3,7,316,12520.0,222.0,1.485467,222,15,13,0,38,2,1,25
person_01_day_high_h265.mp4,3,8,321,13153.0,216.0,1.605431,216,34,15,1,37,3,1,14
person_16_day_low_h265.mp4,3,7,271,10005.0,194.0,1.320966,194,18,3,1,46,1,0,8
person_20_day_high_h265.mp4,3,7,264,11033.0,174.0,1.654586,174,17,32,1,26,5,0,9
person_05_night_low_h265.mp4,3,5,215,7894.0,166.0,0.987736,3,166,5,0,40,1,0,0
person_05_night_high_h265.mp4,3,5,217,6045.0,144.0,1.026441,1,144,0,1,70,0,0,1
person_16_night_high_h265.mp4,3,7,182,6308.0,141.0,1.195073,141,8,2,1,21,1,0,8
person_20_night_high_h265.mp4,3,8,249,9978.0,140.0,1.911616,140,43,21,1,28,1,3,12
person_20_night_low_h265.mp4,3,8,231,8729.0,135.0,1.837247,135,29,27,2,30,1,1,6
person_02_day_low_h265.mp4,3,8,160,9160.0,102.0,1.819474,102,16,17,4,11,3,1,6
person_04_night_low_h265.mp4,3,7,171,7288.0,102.0,1.79828,102,15,2,0,22,1,5,24
person_24_day_high_h265.mp4,3,8,167,6530.0,97.0,1.916697,97,26,14,3,9,1,1,16
person_04_night_high_h265.mp4,3,8,122,4981.0,76.0,1.839301,76,7,15,3,14,2,4,1
person_13_day_low_h265.mp4,3,8,217,7680.0,75.0,2.29528,75,44,43,1,38,4,1,11
person_21_day_low_h265.mp4,3,7,180,7098.0,73.0,2.197225,73,32,2,12,36,1,0,24
person_02_night_high_h265.mp4,3,7,116,5777.0,72.0,1.797149,72,9,12,1,10,0,1,11
person_13_day_high_h265.mp4,3,7,213,6869.0,70.0,2.176993,70,68,13,3,40,1,0,18
person_16_night_low_h265.mp4,3,6,211,7820.0,69.5,1.575098,139,16,2,10,35,0,0,9
person_20_day_low_h265.mp4,3,7,242,10648.0,69.5,1.823743,139,36,14,2,41,3,0,7
person_11_day_high_h265.mp4,3,7,168,6883.0,67.0,2.129902,67,37,4,4,38,1,0,17
person_15_day_high_h265.mp4,3,5,110,4593.0,67.0,1.272881,3,67,0,1,37,0,0,2
person_02_night_low_h265.mp4,3,6,84,4072.0,66.0,1.18209,66,1,6,1,5,0,0,5
person_05_day_low_h265.mp4,3,6,98,3183.0,62.0,1.260217,0,62,0,2,31,1,1,1
person_15_day_low_h265.mp4,3,5,109,5749.0,60.0,1.383395,7,60,0,1,40,0,0,1
person_09_night_high_h265.mp4,3,8,156,8206.0,59.0,2.129342,59,43,4,1,29,1,1,18
person_14_day_high_h265.mp4,3,3,84,6193.0,59.0,0.950472,0,59,1,0,24,0,0,0
person_21_day_high_h265.mp4,3,7,262,10269.0,58.5,2.02009,117,57,0,6,53,2,2,25
person_21_night_high_h265.mp4,3,7,218,7912.0,57.0,2.337004,53,54,1,23,57,3,0,27
person_24_night_low_h265.mp4,3,5,111,3877.0,57.0,1.782622,57,26,0,1,12,0,0,15
person_01_night_low_h265.mp4,3,8,332,13367.0,54.5,1.762188,218,6,35,8,32,4,9,20
person_10_night_low_h265.mp4,3,3,85,3607.0,54.0,1.021501,0,54,0,1,30,0,0,0
person_21_night_low_h265.mp4,3,8,154,7107.0,54.0,2.263025,54,42,3,9,32,2,1,11
person_06_night_high_h265.mp4,3,8,149,12904.0,52.0,2.392985,20,52,1,11,33,3,3,26
person_16_day_high_h265.mp4,3,6,238,9032.0,51.333333,1.461351,154,15,4,3,56,0,0,6
person_04_day_high_h265.mp4,3,6,80,3585.0,48.0,1.668725,48,6,0,0,18,2,1,5
person_02_day_high_h265.mp4,3,5,129,10563.0,47.0,1.316183,94,9,2,0,8,0,0,16
person_10_day_low_h265.mp4,3,5,80,3308.0,47.0,1.464246,6,47,0,2,24,0,0,1
person_06_day_high_h265.mp4,3,8,129,6529.0,43.0,2.435773,43,16,1,10,36,6,3,14
person_24_day_low_h265.mp4,3,6,140,4844.0,43.0,1.750983,86,17,2,5,15,0,0,15
