video,num_annotators,num_classes,num_segments,total_duration,imbalance_ratio_max_min,label_entropy,count::left,count::right,count::up,count::down
person_05_night_high_h265.mp4,3,4,217,6045.0,145.0,0.986728,145,70,1,1
person_04_night_high_h265.mp4,3,4,122,4981.0,76.0,1.378463,25,20,1,76
person_05_day_low_h265.mp4,3,3,98,3183.0,64.0,0.99772,64,33,1,0
person_15_day_low_h265.mp4,3,4,109,5749.0,61.0,1.315858,61,40,1,7
person_05_night_low_h265.mp4,3,3,215,7894.0,57.0,0.804624,171,41,0,3
person_10_day_low_h265.mp4,3,4,80,3308.0,49.0,1.313557,49,24,1,6
person_05_day_high_h265.mp4,3,3,251,9652.0,40.2,0.813757,201,45,0,5
person_18_night_low_h265.mp4,3,3,75,3182.0,38.0,1.088305,38,36,0,1
person_15_night_low_h265.mp4,3,4,127,7384.0,36.5,1.211261,73,49,3,2
person_19_night_low_h265.mp4,3,4,51,5466.0,35.0,1.249314,35,11,1,4
person_15_day_high_h265.mp4,3,4,110,4593.0,34.0,1.204522,68,37,2,3
person_18_day_high_h265.mp4,3,4,109,6085.0,28.5,1.221827,57,48,2,2
person_08_day_high_h265.mp4,3,4,59,5077.0,27.0,1.580272,10,21,1,27
person_01_day_low_h265.mp4,3,4,353,14686.0,26.777778,1.310603,40,63,9,241
person_16_day_high_h265.mp4,3,4,238,9032.0,25.666667,1.348959,22,56,6,154
person_16_day_low_h265.mp4,3,4,271,10005.0,24.25,1.227698,22,47,8,194
person_14_night_low_h265.mp4,3,3,93,4941.0,24.0,0.904233,72,18,0,3
person_20_night_low_h265.mp4,3,4,231,8729.0,22.5,1.48533,58,32,6,135
person_07_night_low_h265.mp4,3,3,82,5766.0,21.0,1.139277,42,38,2,0
person_20_day_low_h265.mp4,3,4,242,10648.0,19.857143,1.531168,52,44,7,139
person_20_day_high_h265.mp4,3,4,264,11033.0,19.333333,1.380097,50,31,9,174
person_10_night_high_h265.mp4,3,3,65,3066.0,19.0,1.137481,38,25,0,2
person_07_day_low_h265.mp4,3,4,68,5761.0,18.5,1.356344,37,26,3,2
person_17_night_low_h265.mp4,3,3,29,2464.0,18.0,1.124259,10,18,0,1
person_16_night_high_h265.mp4,3,4,182,6308.0,17.625,1.096597,11,22,8,141
person_02_day_low_h265.mp4,3,4,160,9160.0,17.0,1.400364,37,15,6,102
person_07_night_high_h265.mp4,3,4,114,7336.0,17.0,1.33897,68,37,5,4
person_08_day_low_h265.mp4,3,4,122,7104.0,16.666667,1.664438,50,43,3,26
person_16_night_low_h265.mp4,3,4,211,7820.0,15.444444,1.407388,28,35,9,139
person_01_day_high_h265.mp4,3,4,321,13153.0,15.428571,1.378731,50,41,14,216
person_17_night_high_h265.mp4,3,4,33,2678.0,15.0,1.509206,15,14,1,3
person_15_night_high_h265.mp4,3,3,112,5403.0,14.2,1.143435,71,36,0,5
person_02_night_low_h265.mp4,3,4,84,4072.0,13.2,1.081016,8,5,5,66
person_19_day_high_h265.mp4,3,4,56,4752.0,13.0,1.524087,26,23,5,2
person_07_day_high_h265.mp4,3,4,92,4656.0,12.5,1.48634,50,31,4,7
person_14_day_low_h265.mp4,3,3,102,5292.0,12.333333,1.053633,74,22,6,0
person_02_day_high_h265.mp4,3,4,129,10563.0,11.75,1.257854,11,8,16,94
person_20_night_high_h265.mp4,3,4,249,9978.0,11.666667,1.564126,65,32,12,140
person_01_night_low_h265.mp4,3,4,332,13367.0,10.9,1.440832,49,45,20,218
person_14_night_high_h265.mp4,3,3,58,3443.0,10.75,1.04103,43,11,4,0
person_19_day_low_h265.mp4,3,4,23,1461.0,10.0,1.720066,7,10,1,5
person_04_day_high_h265.mp4,3,4,80,3585.0,9.6,1.478975,6,21,5,48
person_03_day_high_h265.mp4,3,3,40,3585.0,9.5,1.236397,19,19,2,0
person_03_day_low_h265.mp4,3,3,51,3232.0,9.333333,1.244986,28,20,3,0
person_10_day_high_h265.mp4,3,3,85,3712.0,9.0,1.205037,54,25,0,6
person_01_night_high_h265.mp4,3,4,316,12520.0,8.88,1.33947,28,41,25,222
person_24_day_high_h265.mp4,3,4,167,6530.0,8.818182,1.54194,43,11,16,97
person_11_night_low_h265.mp4,3,4,237,9540.0,8.153846,1.727326,73,45,13,106
person_13_day_low_h265.mp4,3,4,217,7680.0,8.0,1.738627,88,43,11,75
person_08_night_low_h265.mp4,3,4,58,4335.0,8.0,1.764923,15,24,3,16
person_11_night_high_h265.mp4,3,4,163,6208.0,7.416667,1.659975,35,27,12,89
person_02_night_high_h265.mp4,3,4,116,5777.0,6.545455,1.526519,22,11,11,72
person_04_night_low_h265.mp4,3,4,171,7288.0,6.0,1.600781,17,28,24,102
person_24_day_low_h265.mp4,3,4,140,4844.0,5.733333,1.558536,24,15,15,86
person_09_day_high_h265.mp4,3,4,84,5190.0,5.375,1.718656,43,12,8,21
person_12_day_low_h265.mp4,3,3,9,686.0,5.0,1.351644,3,5,0,1
person_21_night_low_h265.mp4,3,4,154,7107.0,4.909091,1.818043,54,35,11,54
person_24_night_low_h265.mp4,3,4,111,3877.0,4.75,1.727032,27,12,15,57
person_24_night_high_h265.mp4,3,4,131,4627.0,4.714286,1.737571,33,18,14,66
person_21_day_high_h265.mp4,3,4,262,10269.0,4.68,1.815971,63,57,25,117
person_13_day_high_h265.mp4,3,4,213,6869.0,4.666667,1.815823,84,41,18,70
person_04_day_low_h265.mp4,3,4,178,6858.0,4.4,1.853307,47,50,15,66
person_11_day_high_h265.mp4,3,4,168,6883.0,3.941176,1.861491,45,39,17,67
person_11_day_low_h265.mp4,3,4,207,9602.0,3.75,1.86179,67,45,20,75
person_13_night_high_h265.mp4,3,4,241,8325.0,3.333333,1.853546,70,41,30,100
person_09_night_high_h265.mp4,3,4,156,8206.0,3.277778,1.876474,48,31,18,59
person_06_day_high_h265.mp4,3,4,129,6529.0,3.214286,1.878299,27,45,14,43
person_06_night_high_h265.mp4,3,4,149,12904.0,3.2,1.858224,64,39,26,20
person_21_day_low_h265.mp4,3,4,180,7098.0,3.041667,1.887798,46,37,24,73
person_13_night_low_h265.mp4,3,4,251,8142.0,3.037037,1.894118,82,60,27,82
person_09_day_low_h265.mp4,3,4,142,10225.0,2.9375,1.909278,47,38,16,41
person_21_night_high_h265.mp4,3,4,218,7912.0,2.888889,1.912053,78,60,27,53
person_06_night_low_h265.mp4,3,4,122,6828.0,2.733333,1.9206,32,41,15,34
person_14_day_high_h265.mp4,3,2,84,6193.0,2.5,0.863121,60,24,0,0
person_12_night_low_h265.mp4,3,3,10,997.0,2.5,1.485475,5,3,0,2
person_08_night_high_h265.mp4,3,4,71,2902.0,2.4,1.931479,24,21,10,16
person_18_night_high_h265.mp4,3,2,39,2046.0,2.25,0.890492,27,12,0,0
person_09_night_low_h265.mp4,3,4,105,6251.0,2.2,1.941248,25,15,33,32
person_12_night_high_h265.mp4,3,3,12,617.0,2.0,1.5,6,3,0,3
person_19_night_high_h265.mp4,3,4,42,3270.0,2.0,1.93854,16,9,8,9
person_06_day_low_h265.mp4,3,4,101,6293.0,1.842105,1.962008,19,35,23,24
person_10_night_low_h265.mp4,3,2,85,3607.0,1.833333,0.936667,55,30,0,0
person_03_night_low_h265.mp4,3,2,46,2791.0,1.555556,0.965636,28,18,0,0
person_03_night_high_h265.mp4,3,2,54,2545.0,1.347826,0.98411,31,23,0,0
person_17_day_high_h265.mp4,3,2,32,2334.0,1.285714,0.988699,14,18,0,0
person_17_day_low_h265.mp4,3,2,25,2186.0,1.272727,0.989588,11,14,0,0
person_18_day_low_h265.mp4,3,2,55,3101.0,1.115385,0.997853,29,26,0,0
person_12_day_high_h265.mp4,3,2,6,500.0,1.0,1.0,3,3,0,0
